Article:,Link:,Year Published:,Lot Number,Summary
Cross-hemispheric gamma synchrony between prefrontal parvalbumin interneurons supports behavioral adaptation during rule shift learning,https://pmc.ncbi.nlm.nih.gov/articles/PMC7347248/,2020,,
Determinants of seeding and spreading of α-synuclein pathology in the brain,https://pmc.ncbi.nlm.nih.gov/articles/PMC7673735/,2020,,
Dopamine metabolism by a monoamine oxidase mitochondrial shuttle activates the electron transport chain,https://pmc.ncbi.nlm.nih.gov/articles/PMC7257994/,2020,,
Elevated Serum Amino Acids Induce a Subpopulation of Alpha Cells to Initiate Pancreatic Neuroendocrine Tumor Formation,PMC,2020,,
Functional Characterization of the Basal Amygdala–Dorsal BNST Pathway during Contextual Fear Conditioning,https://www.eneuro.org/content/7/4/ENEURO.0163-20.2020,2020,,
Genome-wide translational profiling of amygdala Crh-expressing neurons reveals role for CREB in fear extinction learning,https://www.nature.com/articles/s41467-020-18985-6,2020,,
Identification of Alzheimer’s disease–associated rare coding variants in the ECE2 gene,https://insight.jci.org/articles/view/135119,2020,,
Isotope-reinforced polyunsaturated fatty acids improve Parkinson’s disease-like phenotype in rats overexpressing α-synuclein,https://link.springer.com/article/10.1186/s40478-020-01090-6,2020,,
Knockdown of GADD34 in neonatal mutant SOD1 mice ameliorates ALS,https://www.sciencedirect.com/science/article/pii/S0969996119303778,2020,,
MicroRNA-19a-PTEN Axis Is Involved in the Developmental Decline of Axon Regenerative Capacity in Retinal Ganglion Cells,https://www.sciencedirect.com/science/article/pii/S2162253120301578,2020,,
Orexin signaling in GABAergic lateral habenula neurons modulates aggressive behavior in male mice,https://pmc.ncbi.nlm.nih.gov/articles/PMC7195257/,2020,,
Overexpression of IκBα in cardiomyocytes alleviates hydrogen peroxide-induced apoptosis and autophagy by inhibiting NF-κB activation,https://link.springer.com/article/10.1186/s12944-020-01327-2,2020,,
Periodic remodeling in a neural circuit governs timing of female sexual behavior,https://pmc.ncbi.nlm.nih.gov/articles/PMC7096331/,2020,,
Regulatory Elements Inserted into AAVs Confer Preferential Activity in Cortical Interneurons,https://www.eneuro.org/content/7/6/ENEURO.0211-20.2020,2020,,
Silencing of MYH7 ameliorates disease phenotypes in human iPSC-cardiomyocytes,https://pmc.ncbi.nlm.nih.gov/articles/PMC7468691/,2020,,
Upregulating β-hexosaminidase activity in rodents prevents α-synuclein lipid associations and protects dopaminergic neurons from α-synuclein-mediated neurotoxicity,https://link.springer.com/article/10.1186/s40478-020-01004-6,2020,,
A Methodological Approach Using rAAV Vectors Encoding Nanobody-Based Biologics to Evaluate ARTC2.2 and P2X7 In Vivo,PMC,2021,,
A Signaling-Biased and Constitutively Active Dopamine D2 Receptor Variant,https://pmc.ncbi.nlm.nih.gov/articles/PMC8528033/,2021,,
AAV capsid assembly is divergent and stochastic,https://pmc.ncbi.nlm.nih.gov/articles/PMC8074050/,2021,,
"Activation of the dorsal, but not the ventral, hippocampus relieves neuropathic pain in rodents",https://pmc.ncbi.nlm.nih.gov/articles/PMC8464622/,2021,,
Adeno-associated virus capsid assembly is divergent and stochastic,https://www.nature.com/articles/s41467-021-21935-5,2021,,
Anion-exchange HPLC assay for separation and quantification of empty and full capsids in multiple adeno-associated virus serotypes,https://pmc.ncbi.nlm.nih.gov/articles/PMC8099603/,2021,,
Biophysical Characterization of Viral and Lipid-Based Vectors for Vaccines and Therapeutics with Light Scattering and Calorimetric Techniques,https://pmc.ncbi.nlm.nih.gov/articles/PMC8780473/,2021,,
Calcitonin receptor signaling in the medial preoptic area enables risk-taking maternal care,https://www.sciencedirect.com/science/article/pii/S2211124721005532,2021,,
"Characterization of Recombinant Adeno-Associated Viruses
(rAAVs) for Gene Therapy Using Orthogonal Techniques",https://pdfs.semanticscholar.org/9159/3cd77c5da7610d43ef12f0575c924625a989.pdf,2021,,
Characterization of Recombinant Adeno-Associated Viruses (rAAVs) for Gene Therapy Using Orthogonal Techniques,https://pmc.ncbi.nlm.nih.gov/articles/PMC8074050/,2021,,
Cocaine Shifts Dopamine D2 Receptor Sensitivity to Gate Conditioned Behaviors,https://pmc.ncbi.nlm.nih.gov/articles/PMC8571051/,2021,,
Constitutive activation of ERK1/2 signaling protects against myocardial ischemia via inhibition of mitochondrial fragmentation in the aging heart,PMC,2021,,
Highly efficient neuronal gene knockout in vivo by CRISPR-Cas9 via neonatal intracerebroventricular injection of AAV in mice,https://www.nature.com/articles/s41434-021-00224-2,2021,,
Intercalated amygdala clusters orchestrate a switch in fear state,https://pmc.ncbi.nlm.nih.gov/articles/PMC8402941/,2021,,
Locus coeruleus anchors a trisynaptic circuit controlling fear-induced suppression of feeding,PMC,2021,,
Nucleus Accumbens Medium Spiny Neuron Subtypes Differentially Regulate Stress-Associated Alterations in Sleep Architecture,https://pmc.ncbi.nlm.nih.gov/articles/PMC8178228/,2021,,
Optimizing Integration and Expression of Transgenic Bruton's Tyrosine Kinase for CRISPR-Cas9-Mediated Gene Editing of X-Linked Agammaglobulinemia,PMC,2021,,
Preoptic BRS3 neurons increase body temperature and heart rate via multiple pathways,https://pmc.ncbi.nlm.nih.gov/articles/PMC8266747/,2021,,
Quantitative analysis of genome packaging in recombinant AAV vectors by charge detection mass spectrometry,https://pmc.ncbi.nlm.nih.gov/articles/PMC8476707/,2021,,
Restoring Function After Severe Spinal Cord Injury Through BioLuminescent-OptoGenetics,PMC,2021,,
Serotonin transporter-mediated molecular axis regulates regional retinal ganglion cell vulnerability and axon regeneration after nerve injury,PMC,2021,,
